sim,surplus_pnl_gbp
0,-36136545.016267
1,18374102.248173
2,-7603395.283403
3,11590108.009692
4,-12669596.366206
5,5847315.429716
6,25694303.058407
7,76059700.961848
8,9745512.945012
9,16358324.729474
10,-21955967.845516
11,-11647218.357331
12,26319903.200351
13,42590946.177968
14,8625494.559143
15,-9458438.706648
16,37530816.235032
17,2647721.225098
18,1109713.671780
19,-29718823.932032
20,10658294.977608
21,-10274736.382419
22,2771920.287218
23,-13118315.634598
24,-20457061.675710
25,-22846990.535913
26,-7528820.792330
27,33837001.038092
28,-19180620.239455
29,22518312.709412
30,-8995074.139423
31,-36778684.656890
32,-17989384.933912
33,-11872608.147384
34,37754309.779552
35,-19046652.504725
36,31015948.636718
37,-14763056.164077
38,17655999.751145
39,78902080.815104
40,-27625929.556342
41,4483124.676227
42,-1640461.188213
43,-30095407.681248
44,13893562.530960
45,-20261608.374503
46,12545863.986961
47,24829348.119856
48,11700792.195159
49,-20081083.128536
50,30649214.102485
51,41615586.113479
52,13874033.226923
53,-32065074.379962
54,-29386061.388938
55,-21191646.484901
56,-43504522.475565
57,-3496082.976231
58,-26749024.365716
59,30817018.128375
60,-10515519.568724
61,63793215.736508
62,-5468611.381553
63,-4135854.500414
64,-9921217.420403
65,-35587774.970579
66,18771215.854026
67,7294733.047590
68,1907356.407177
69,25994958.936367
70,46331790.975355
71,43834015.396870
72,-21151000.311701
73,4966683.361741
74,15678828.915574
75,-20304793.700315
76,-6822811.285223
77,-1108812.751988
78,-6234139.782928
79,-16286020.310397
80,7476973.670106
81,10157344.570343
82,5409327.630730
83,82280101.132671
84,29487047.400528
85,-35391455.665899
86,-22261815.617975
87,-7953014.825536
88,37455690.561471
89,16427625.796572
90,-14214227.762460
91,49483058.511278
92,18969556.938064
93,46277867.758065
94,3268678.922068
95,-17441891.984926
96,24628236.177870
97,13596512.275551
98,14417010.983135
99,47034618.905208
100,-21953895.635200
101,45570303.064207
102,-8673806.062479
103,27730822.432050
104,12606819.023491
105,-44842499.639958
106,-45700538.298013
107,-20452577.777699
108,36708849.121104
109,24815910.689144
110,52150462.172880
111,-19243383.848516
112,12753758.488028
113,7911916.356921
114,13215316.860717
115,26520946.721657
116,9865223.172725
117,68552973.084050
118,17799614.555437
119,-3147848.395239
120,29671704.808785
121,7696126.105915
122,7773498.798283
123,1166912.068870
124,-16915407.483524
125,-11909600.374205
126,9083007.422143
127,-30536133.662505
128,4518957.583687
129,7945210.615590
130,9499876.951655
131,-22000226.982199
132,43377498.418501
133,13062056.987734
134,36314939.337358
135,44534286.086478
