sim,surplus_pnl_gbp
0,-37392428.707106
1,19156142.100762
2,-7928932.299551
3,11621297.530051
4,-13027584.500358
5,6004547.829412
6,26331781.892588
7,77767061.199237
8,10260283.142578
9,16550038.918139
10,-22635139.164790
11,-11727314.462088
12,26983336.894600
13,43799310.333791
14,8877695.360632
15,-9812046.346117
16,38704826.954281
17,2708382.718524
18,1171949.096893
19,-30299812.900849
20,10874092.059799
21,-10576071.885657
22,2568239.709297
23,-13707293.556324
24,-20864381.219885
25,-23438880.563952
26,-7756391.717066
27,34731054.883710
28,-19572264.013968
29,23420666.419315
30,-9103677.423120
31,-37849515.998236
32,-18452971.794787
33,-12039166.654385
34,38547855.459192
35,-19464812.538823
36,32025328.610570
37,-15178320.791444
38,18268063.726692
39,81484942.836558
40,-28409910.249972
41,4501161.413106
42,-1324128.180766
43,-30885698.602819
44,14329233.105340
45,-21050728.135426
46,13127825.373709
47,25517320.073393
48,12109077.400401
49,-20768927.729548
50,31480059.013176
51,42783561.277723
52,14498369.364789
53,-33108022.302702
54,-30402679.850097
55,-21890575.388501
56,-44851793.221394
57,-3798588.273615
58,-27463463.155111
59,31995008.626006
60,-10657113.392038
61,65676270.678235
62,-5506570.301502
63,-4362526.769166
64,-10392898.181778
65,-36705676.106304
66,19226350.149318
67,7397695.625378
68,2085881.447945
69,26756129.393091
70,47876133.415120
71,45077703.154413
72,-21507714.564539
73,4956561.812544
74,16058853.474822
75,-21021536.037655
76,-6946958.418651
77,-1367842.244282
78,-6475841.780632
79,-17155615.492798
80,7736963.538216
81,10409890.760711
82,5703585.541286
83,84496993.381723
84,30225713.034917
85,-36346462.905184
86,-22785675.755886
87,-8183585.096144
88,38522489.543081
89,17053159.024767
90,-14886110.334568
91,50993983.691003
92,19814113.280014
93,47839488.020698
94,3329491.098966
95,-17792543.340644
96,25456365.739938
97,13774838.091088
98,14968326.864041
99,48229247.548004
100,-22140822.629134
101,46877433.013697
102,-8697046.193738
103,28341174.206209
104,13005423.838398
105,-46055719.494529
106,-47061863.449483
107,-20737173.353323
108,37444948.516862
109,25520178.144253
110,53484320.301072
111,-19608777.176311
112,13163282.599371
113,8159235.975938
114,13672746.362405
115,27135850.743234
116,10166602.151117
117,70201118.129145
118,18544536.268384
119,-3417157.835652
120,30345823.261765
121,7948433.934320
122,7748861.297741
123,1355764.568101
124,-17506939.274846
125,-12103689.653702
126,9368609.936274
127,-31348848.351622
128,4931931.172143
129,8178259.290721
130,9969914.205550
131,-22667015.686545
132,44625791.635778
133,13580525.602795
134,37483364.957930
135,46002177.862960
136,-40689805.253180
137,-14988381.026857
138,-46735813.669258
139,-4397202.180486
140,13986654.455196
141,21721216.215305
142,-4695753.924462
143,-30092336.285370
144,15574110.603818
145,77058656.241355
146,22979661.739837
147,-1994600.254767
148,-8861744.189270
149,20797640.376502
150,-16447586.659282
151,27212597.064722
152,12842275.942686
153,-21683537.929078
154,-10129409.364120
155,-19477800.422212
156,4851301.959302
157,30640700.262541
158,-7400510.816036
159,-2124708.408860
160,13803052.027655
161,27699902.391138
162,-20586252.114384
163,5763104.542459
164,29871961.870361
165,-39335734.113920
166,-156640.947903
167,9539934.242775
168,-17443401.346882
169,-8749505.864974
170,-5263480.887709
171,-10877946.255770
172,-38501396.929884
173,69038928.426485
174,-19585256.971329
175,3401735.256894
176,15131985.846649
177,20101064.149164
178,15895468.605342
179,485831.786212
180,-3159464.534789
181,-33288284.247077
182,-24927139.603220
183,-12731145.655251
184,-33487041.969366
185,27568171.081143
186,68600774.661901
187,52015483.854262
188,-10939803.018414
189,-6691752.772740
190,-10265625.801292
191,26713780.684112
192,-25419229.699486
193,-21218852.284730
194,4230740.407934
195,-6028739.109008
196,5031442.688691
197,-12789361.251514
198,20823303.821757
199,-6833374.872527
200,-39639816.739052
201,4109759.809480
202,-6853417.350167
203,-31371122.899373
204,-3945440.406727
205,-35825817.186038
206,16254719.259801
207,40679938.871158
208,28503.718902
209,-17276688.250205
210,-5100250.604057
211,9128238.369495
212,-34956636.035347
213,13453665.046631
214,-7637313.399827
215,-24436314.260433
216,9597582.340314
217,83370846.782803
218,29189147.119438
219,39204994.967291
220,6956612.686304
221,42942022.741191
222,51615664.645316
223,11077296.687045
224,-31601880.821604
225,13867518.274797
226,-49772424.652658
227,-26884466.294167
228,2768238.166419
229,4593549.771927
230,-9059307.128626
231,27540412.590914
232,-10044069.067062
233,7668118.331324
234,34481929.888876
235,-23857436.809184
236,-28327680.549588
237,17675787.884958
238,-17838369.165721
239,-32651741.848034
240,-19110952.229387
241,-6226836.416640
242,-6071126.899937
243,-5687906.814891
244,-28933400.983487
245,-5264581.055116
246,-22359421.679462
247,-216462.685452
248,1193868.260548
249,-31683242.699685
250,-23015758.494131
251,14507762.830202
252,40379176.054455
253,14895970.244534
254,301540.856325
255,-20053232.833497
256,-4951977.157240
257,14835795.950428
258,-37300841.707176
259,-48824633.648924
260,-7824360.095799
261,33862596.754473
262,-10689834.901469
263,-13875705.317370
264,-21785575.377057
265,2064736.014577
266,-37037186.441911
267,-10043328.721181
268,-17355476.643324
269,-14715956.590612
270,24755779.301915
271,-49749566.659622
272,-2793419.874551
273,-12612354.598894
274,11021797.070416
275,-570010.299891
276,33262552.481839
277,5202896.500072
278,-16782807.329616
279,-6176649.834016
280,4040773.337611
281,47579785.950450
282,2449866.110240
283,-22154089.387877
284,-43851898.723746
285,14683381.215762
286,-18641319.586262
287,33098430.014903
288,-27482211.891141
289,39262.204284
290,9703678.459827
291,-36473974.983365
292,-4798822.670569
293,41240837.257867
294,9297774.004485
295,8504530.846620
296,20452717.594269
297,-30473697.834271
298,3008326.710394
299,8238343.452121
300,5903475.920071
301,31312523.310222
302,-19061251.644393
303,-10112324.560701
304,-8125179.270057
305,18135473.459446
306,-15689959.862315
307,5914495.366440
308,-29227843.065424
309,22694181.924483
310,38045159.415143
311,20306727.984945
312,72837109.002063
313,-12312776.985265
314,23191688.372765
315,6453684.844702
316,-26271332.016869
317,12970889.099212
318,29792852.568966
319,16740621.541671
320,-7487202.361558
321,12613590.812057
322,27242329.539263
323,43115495.395971
324,-3508626.045975
325,8860396.534502
326,-64205682.454820
327,10923429.843248
328,-38688770.373136
329,-7216679.560680
330,18011745.503396
331,-13292784.456727
332,-22884228.630001
333,-13446725.069450
334,15004481.254948
335,18908112.548369
336,-5441046.122873
337,-235052.995957
338,-6500475.012589
339,-30183515.086794
340,15281668.368411
341,-16236957.159844
342,-10211647.460716
343,-10034028.042412
344,-7156305.051867
345,49949712.152593
346,-135659.980726
347,45848361.570524
348,24428644.252151
349,-25677861.406606
350,-27124902.400704
351,49736672.105441
352,-52441313.557138
353,-17764168.324890
354,-14263250.579061
355,35239385.210092
356,-14845048.158586
357,25681925.658074
358,29361227.346573
359,-18134272.646619
360,-19277922.175305
361,-22986417.824015
362,4527873.021751
363,19586058.819730
364,-25231059.492935
365,-4155151.879806
366,9135457.367395
367,10603444.033332
368,5269254.753174
369,-1435561.459683
370,202914.834063
371,16519704.016172
372,20504517.748786
373,37737826.334770
374,25643638.900018
375,13575908.960180
376,-44045420.883474
377,-32426688.192759
378,-38339909.057884
379,2927690.332077
380,13279563.105105
381,15894980.911002
382,-10408764.412341
383,-18241672.928432
384,25656819.724248
385,43501298.303025
386,4371007.706946
387,43616739.376702
388,14247378.219323
389,12917077.771645
390,11640061.545169
391,15771447.379679
392,-38970899.943767
393,-2795947.605835
394,-13088673.691169
395,36572028.498991
396,-9522044.076496
397,20569767.389122
398,38147263.348491
399,23606157.596387
400,-35783053.910947
401,25215804.225787
402,1394768.555466
403,45507266.400984
404,7978686.194719
405,-19430000.260780
406,-22775042.925193
407,29022798.139246
408,32385340.970169
409,2731629.828014
410,73596564.359735
411,55490537.943566
412,-13863067.404818
413,-41210305.133496
414,-25014298.886410
415,48889649.053198
416,24557490.068493
417,-6010513.474376
418,-5557343.897791
419,-2468128.218996
420,763226.370926
421,2952824.277312
422,-23262671.161143
423,1320587.952746
424,4823711.707152
425,5812987.814933
426,15078138.148716
427,28248181.001686
428,9473609.432271
429,-45251255.686755
430,-6407840.102043
431,24019547.036154
432,-17846655.759637
433,-49107473.518178
434,-16517720.763466
435,2329589.151361
436,5809757.337707
437,31158328.853785
438,-44708308.911816
439,51056383.489717
440,12154907.944930
441,-2747247.540842
442,38418600.160772
443,30704956.907181
444,40309829.563497
445,44465971.154750
446,-32574875.634606
447,6260124.509116
448,28581379.292159
449,-10497915.756863
450,-6649980.286428
451,-7843210.451797
452,-7605037.761640
453,366074.662206
454,-31202809.568260
455,41712348.547591
456,-78695564.384374
457,-42843556.653424
458,96311177.763037
459,22197996.139039
460,34671987.373344
461,53924196.797452
462,-25692985.056998
463,-49252515.991645
464,3411114.265991
465,-29162399.794564
466,-1886508.106344
467,-16871256.898641
468,5707754.567881
469,-39372412.264555
470,-23068743.586733
471,31691355.575297
472,-32829069.483227
473,-38594646.137604
474,-8383807.743289
475,73934308.262653
476,15283156.392251
477,32586202.040190
478,74350186.499371
479,40351554.402747
480,8028000.573949
481,14114823.788090
482,-9560232.655259
483,34915370.486476
484,2097927.060480
485,-8058701.222746
486,-1511864.243612
487,11261377.915090
488,-25357869.399569
489,-6326302.520296
490,33732748.256985
491,13762824.295884
492,57775370.791352
493,2707901.018665
494,-28175609.572814
495,-1652190.034129
496,3137941.126240
497,-42489971.340080
498,-23205031.046528
499,11030356.871894
500,-43523822.394931
501,12534056.790162
502,6444230.643461
503,39667577.158024
504,583793.444737
505,22706421.494083
506,-45191599.894611
507,-2980526.902883
508,-1977950.808418
509,18942112.685982
510,15156900.411197
511,29711435.517497
512,10975707.649170
513,43837133.787150
514,3691093.674871
515,-56255626.992076
516,37915568.570515
517,-13168862.203336
518,16422680.649661
519,-19195805.762139
520,-13512531.968263
521,50411072.227774
522,15549635.070761
523,23190147.181198
524,-17202676.147978
525,2917250.854751
526,-37783481.291489
527,-1378389.344489
528,-16241449.086842
529,-12690300.005492
530,4379593.375182
531,2604449.978981
532,28133293.778892
533,-31519603.267548
534,-10843650.609706
535,-11718194.662662
536,11377634.135445
537,32855556.512925
538,-58544046.427518
539,23883740.183785
540,-4776094.522309
541,25489032.331041
542,-11891655.963957
543,39189130.982709
544,-6262672.119365
545,21260494.913473
546,-3819628.494387
547,25287854.438787
548,-16131838.789215
549,-20949488.051648
550,18359246.585254
551,36259473.772550
552,14294309.995793
553,7493428.364495
554,1327351.173444
555,-29498242.165341
556,-22150882.339041
557,45327030.376659
558,5987466.267661
559,-17831933.362161
560,-14914909.348718
561,13985833.809201
562,578061.555908
563,-10905553.379382
564,837578.117365
565,30379539.871553
566,18273512.211249
567,-25619256.576081
568,14865184.682082
569,-24024243.530758
570,-43701506.476976
571,-20271583.727766
572,-3771905.157537
573,62183528.994795
574,7645098.175127
575,13687000.167290
576,8174249.871126
577,20778958.204849
578,243987.936607
579,37438843.016261
580,-7985787.070660
581,-5022101.072550
582,-22636606.333338
583,275716.341003
584,-55495456.364185
585,-13770298.341669
586,4883159.060352
587,812752.327884
588,-2130170.294289
589,-51251258.621637
590,33771361.541707
591,-17851981.097401
592,-64160206.393484
593,22628783.463018
594,-48403302.285779
595,-27527694.447055
596,14358036.710481
597,7728776.036301
598,-3386971.828007
599,-3887452.053013
600,-40816172.831340
601,5617236.008225
602,-29897077.616511
603,35658782.814310
604,-56766206.960063
605,23887904.409222
606,14946849.951366
607,-16342579.664514
608,-9510240.393358
609,-19289108.717770
610,-22451608.736791
611,-7672089.955099
612,5035501.820588
613,-19315713.659895
614,2240315.208148
615,19598230.349551
616,28005592.315418
617,-8878972.871939
618,1476926.887497
619,51212798.766087
620,22491220.598241
621,-41494822.816391
622,-10945165.021880
623,28372189.185046
624,22869908.004321
625,-32813382.137030
626,11464972.047461
627,-10501798.728459
628,23284480.975500
629,19070836.604328
630,24196303.639997
631,42005309.969639
632,-29696542.925057
633,-16918511.904575
634,28423988.211834
635,37832626.139449
636,-3222466.004205
637,28420818.790754
638,-16031247.205411
639,-8750178.362406
640,-34429670.382036
641,-3697791.407031
642,-12909345.384292
643,-2344824.233346
644,10273685.805259
645,-18008853.942177
646,-14944250.514114
647,7473830.606477
648,13250541.531063
649,-23838808.033302
650,44651688.035239
651,32025234.497509
652,-14771708.387188
653,45274841.678968
654,3512397.289607
655,-51189563.066445
656,-13240037.691010
657,-45088145.602051
658,9910260.348112
659,12625672.858915
660,-19651846.193063
661,-791481.774781
662,-12438077.191409
663,28269489.210075
664,3895578.688182
665,-14789102.414904
666,45670170.644311
667,16208997.460579
668,-10209134.632765
669,14389615.626377
670,16844999.798668
671,-16285155.822270
672,11220390.325925
673,-12173574.984044
674,8278860.115055
675,37795088.917493
676,29743170.305348
677,-35664013.899216
678,-50875209.163532
679,12472275.940536
680,-19200320.218967
681,-1663828.806631
682,-17787264.713134
683,-29320766.004338
684,-33189285.149121
685,-22436218.202889
686,-25808684.274567
687,-25482876.694148
688,5085900.926860
689,-23338050.111923
690,12737821.047733
691,4926910.358151
692,5704611.042793
693,-34297595.970113
694,58540862.298408
695,-39694213.935537
696,37938399.024265
697,17356768.431206
698,-21165931.967430
699,-40972467.033415
700,-922034.158627
701,-29245479.659278
702,12509520.692024
703,-2312229.244988
704,4300969.782463
705,8374433.081087
706,18412624.946406
707,-24526848.597492
708,-31415043.884592
709,13786578.526642
710,-11390433.411763
711,-30694761.464620
712,-11265711.771368
713,-10991447.033249
714,3864239.639743
715,-9053117.823146
716,4096596.741620
717,-9728943.963111
718,-30532378.089241
719,19825553.782663
720,52042593.620795
721,-4627864.810470
722,10434270.529848
723,-11935489.696051
724,36070628.041897
725,-21226909.313045
726,9308856.333842
727,-3495903.016737
728,-16397719.603886
729,13396245.450696
730,13363068.125273
731,42351210.828864
732,8708878.029700
733,-23486672.402613
734,-10167328.846908
735,-6561672.754723
736,1202819.008977
737,3935499.285809
738,39430733.574991
739,-23361943.989956
740,20857256.426801
741,33197173.155063
742,46903761.201371
743,-11989748.919015
744,3618639.441716
745,17736925.921915
746,-48113056.180214
747,29257381.144494
748,-30194092.582401
749,-18677025.158000
750,6043741.244851
751,2882796.760868
752,-28661848.316490
753,26292298.189544
754,-5986538.815260
755,-47885260.994288
756,-68085882.227240
757,43621606.891607
758,42545594.275967
759,24568428.662402
760,-33326231.554962
761,7663098.388585
762,49264096.191066
763,66669188.950828
764,-13705056.679180
765,7979463.083046
766,4259629.705041
767,24055199.180896
768,19438761.686189
769,-9013008.072891
770,57556716.129549
771,-10276242.994124
772,-7815615.297985
773,-38414804.515401
774,-30231293.863914
775,23548923.602427
776,44045194.253389
777,1512117.753743
778,8485744.952965
779,-20817051.000113
780,24138524.354914
781,29737062.133301
782,41090128.728775
783,19450836.622402
784,11067333.765715
785,2006119.001489
786,-36114814.515805
787,16298688.344898
788,-27672163.286263
789,19249282.555839
790,-14319254.529562
791,-9403197.734638
792,39290346.274424
793,-30969915.772924
794,2606934.891648
795,-21486793.875444
796,-46416860.752250
797,-1243847.422823
798,64834044.894242
799,-12790868.070886
800,-21072501.593176
801,-1998010.307390
802,-222895.232480
803,3408923.740946
804,44951059.374795
805,-53298445.528601
806,-4420608.690978
807,26269948.531707
808,31076817.189840
809,21240022.046611
810,10041599.336415
811,-69017364.402485
812,41604178.351812
813,-27447622.375636
814,605476.949688
815,-10150671.980964
816,12552685.581036
817,-2757825.563533
818,-7099589.696029
819,58396313.600863
820,33859711.833392
821,1411403.499492
822,-38270187.013005
823,-19499161.120567
824,26962647.002821
825,-78157177.364384
826,36650222.036729
827,-11803585.327912
828,38653392.034382
829,16456579.194777
830,-2369826.358602
831,33936717.681058
832,-16403760.017367
833,6440547.906315
834,37559890.734113
835,29702540.372678
836,15923934.459197
837,-15303938.248359
838,-7469179.587942
839,-24904659.415408
840,10803165.082533
841,-14076891.620552
842,3947767.284776
843,3162830.315766
844,-1227766.621764
845,-45086670.548541
846,4530055.689779
847,7246629.342820
848,14562772.692436
849,-17919122.058742
850,-19467971.902141
851,-35781992.649154
852,34435681.934121
853,4842983.983501
854,31160274.626274
855,-27860576.004457
856,16243632.606993
857,-37645679.765206
858,-6056466.271350
859,-22713497.945801
860,18336689.366590
861,1822077.296187
862,-45526970.805822
863,-22437871.266225
864,-16421178.100999
865,42231609.533349
866,23067228.570490
867,-44869421.569661
868,18411215.132109
869,1357866.411329
870,-37051115.889676
871,11514377.052256
872,19906235.001240
873,10415164.288296
874,38139261.419153
875,-2792353.837259
